Ticker;Nom;Secteur;Pays;Prix Actuel;Devise;Capitalisation (M);Année;Chiffre d'Affaires (M);Résultat Net (M);Marge Nette (%);ROE (%);Dette/Equity;PER (Trailing);Croissance CA 3ans (%);Croissance Bénéfice 3ans (%);Tendance
ALE.WA;Allegro.eu S.A.;Consumer Cyclical;Luxembourg;31.215;PLN;32878.8;2021;5352.9;1089.6;20.36;11.53;0.59;24.197676;20.17;153.97;🚀 Hyper-Croissance
ALV.DE;Allianz SE;Financial Services;Germany;388.2;EUR;149671.0;2024;136916.0;9931.0;7.25;16.47;0.53;14.324723;71.45;54.66;🚀 Hyper-Croissance
ALV.DE;Allianz SE;Financial Services;Germany;388.2;EUR;149671.0;2023;119667.0;8541.0;7.14;14.67;0.51;14.324723;71.45;54.66;🚀 Hyper-Croissance
ALV.DE;Allianz SE;Financial Services;Germany;388.2;EUR;149671.0;2022;79860.0;6421.0;8.04;11.8;0.54;14.324723;71.45;54.66;🚀 Hyper-Croissance
ALV.DE;Allianz SE;Financial Services;Germany;388.2;EUR;149671.0;2021;118911.0;6610.0;5.56;10.81;0.58;14.324723;71.45;54.66;🚀 Hyper-Croissance
AMS.MC;Amadeus IT Group, S.A.;Technology;Spain;62.86;EUR;27115.2;2024;6141.7;1253.0;20.4;24.75;0.67;20.745874;36.91;88.59;🚀 Hyper-Croissance
AMS.MC;Amadeus IT Group, S.A.;Technology;Spain;62.86;EUR;27115.2;2023;5441.2;1117.6;20.54;24.93;0.74;20.745874;36.91;88.59;🚀 Hyper-Croissance
AMS.MC;Amadeus IT Group, S.A.;Technology;Spain;62.86;EUR;27115.2;2022;4485.9;664.4;14.81;14.49;0.96;20.745874;36.91;88.59;🚀 Hyper-Croissance
AMS.MC;Amadeus IT Group, S.A.;Technology;Spain;62.86;EUR;27115.2;2021;2670.0;-142.4;-5.33;-3.8;1.33;20.745874;36.91;88.59;🚀 Hyper-Croissance
BBVA.MC;Banco Bilbao Vizcaya Argentaria, S.A.;Financial Services;Spain;20.12;EUR;114778.3;2024;39235.0;10054.0;25.63;18.07;1.36;11.563219;39.8;58.13;🚀 Hyper-Croissance
BBVA.MC;Banco Bilbao Vizcaya Argentaria, S.A.;Financial Services;Spain;20.12;EUR;114778.3;2023;33427.0;8019.0;23.99;15.51;1.44;11.563219;39.8;58.13;🚀 Hyper-Croissance
BBVA.MC;Banco Bilbao Vizcaya Argentaria, S.A.;Financial Services;Spain;20.12;EUR;114778.3;2022;28065.0;6358.0;22.65;13.56;1.28;11.563219;39.8;58.13;🚀 Hyper-Croissance
BBVA.MC;Banco Bilbao Vizcaya Argentaria, S.A.;Financial Services;Spain;20.12;EUR;114778.3;2021;22996.0;4653.0;20.23;10.6;1.41;11.563219;39.8;58.13;🚀 Hyper-Croissance
DNP.WA;Dino Polska S.A.;Consumer Defensive;Poland;41.33;PLN;40519.9;2024;29273.8;1505.0;5.14;21.24;0.15;25.048487;47.84;32.94;🚀 Hyper-Croissance
DNP.WA;Dino Polska S.A.;Consumer Defensive;Poland;41.33;PLN;40519.9;2023;25666.3;1405.3;5.48;25.07;0.21;25.048487;47.84;32.94;🚀 Hyper-Croissance
DNP.WA;Dino Polska S.A.;Consumer Defensive;Poland;41.33;PLN;40519.9;2022;19801.6;1132.1;5.72;26.93;0.27;25.048487;47.84;32.94;🚀 Hyper-Croissance
DNP.WA;Dino Polska S.A.;Consumer Defensive;Poland;41.33;PLN;40519.9;2021;13362.0;805.3;6.03;26.23;0.28;25.048487;47.84;32.94;🚀 Hyper-Croissance
ISP.MI;Intesa Sanpaolo S.p.A.;Financial Services;Italy;5.902;EUR;102598.1;2024;28294.0;8666.0;30.63;13.3;2.25;11.572549;31.2;97.9;🚀 Hyper-Croissance
ISP.MI;Intesa Sanpaolo S.p.A.;Financial Services;Italy;5.902;EUR;102598.1;2023;25416.0;7724.0;30.39;12.08;2.22;11.572549;31.2;97.9;🚀 Hyper-Croissance
ISP.MI;Intesa Sanpaolo S.p.A.;Financial Services;Italy;5.902;EUR;102598.1;2022;21565.0;4379.0;20.31;7.17;1.61;11.572549;31.2;97.9;🚀 Hyper-Croissance
ISP.MI;Intesa Sanpaolo S.p.A.;Financial Services;Italy;5.902;EUR;102598.1;2021;21898.0;4185.0;19.11;6.56;1.59;11.572549;31.2;97.9;🚀 Hyper-Croissance
PKO.WA;Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna;Financial Services;Poland;86.46;PLN;108075.0;2024;28869.0;9304.0;32.23;17.76;0.58;10.391828;67.05;180.92;🚀 Hyper-Croissance
PKO.WA;Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna;Financial Services;Poland;86.46;PLN;108075.0;2023;24215.0;5502.0;22.72;12.16;0.5;10.391828;67.05;180.92;🚀 Hyper-Croissance
PKO.WA;Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna;Financial Services;Poland;86.46;PLN;108075.0;2022;17282.0;3312.0;19.16;9.27;0.6;10.391828;67.05;180.92;🚀 Hyper-Croissance
PKO.WA;Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna;Financial Services;Poland;86.46;PLN;108075.0;2021;15094.0;4874.0;32.29;12.93;0.8;10.391828;67.05;180.92;🚀 Hyper-Croissance
RACE.MI;Ferrari N.V.;Consumer Cyclical;Italy;316.4;EUR;56095.9;2024;6676.7;1521.9;22.79;43.06;0.95;35.3125;31.04;63.18;🚀 Hyper-Croissance
RACE.MI;Ferrari N.V.;Consumer Cyclical;Italy;316.4;EUR;56095.9;2023;5970.1;1252.0;20.97;40.9;0.81;35.3125;31.04;63.18;🚀 Hyper-Croissance
RACE.MI;Ferrari N.V.;Consumer Cyclical;Italy;316.4;EUR;56095.9;2022;5095.3;932.6;18.3;35.97;1.08;35.3125;31.04;63.18;🚀 Hyper-Croissance
RACE.MI;Ferrari N.V.;Consumer Cyclical;Italy;316.4;EUR;56095.9;2021;4270.9;830.8;19.45;37.66;1.19;35.3125;31.04;63.18;🚀 Hyper-Croissance
UCG.MI;UniCredit S.p.A.;Financial Services;Italy;70.7;EUR;106517.1;2024;26579.0;9719.0;36.57;15.57;1.97;10.695914;26.34;50.5;🚀 Hyper-Croissance
UCG.MI;UniCredit S.p.A.;Financial Services;Italy;70.7;EUR;106517.1;2023;25360.0;9507.0;37.49;14.84;1.91;10.695914;26.34;50.5;🚀 Hyper-Croissance
UCG.MI;UniCredit S.p.A.;Financial Services;Italy;70.7;EUR;106517.1;2022;21037.0;6458.0;30.7;10.2;1.82;10.695914;26.34;50.5;🚀 Hyper-Croissance
UCG.MI;UniCredit S.p.A.;Financial Services;Italy;70.7;EUR;106517.1;2021;18674.0;2096.0;11.22;3.37;2.02;10.695914;26.34;50.5;🚀 Hyper-Croissance
