N,mha_classic_fwd,mha_optimisee_fwd,mha_efficiente_fwd,mha_super_fwd,mha_classic_train,mha_optimisee_train,mha_efficiente_train,mha_super_train
32,0.001254700000572484,0.0009412999988853699,0.0009358999996038619,0.0008923999994294718,0.19791560000157915,0.15309870000055525,0.12387440000020433,0.15361250000023574
64,0.0011685000008583302,0.000956600000790786,0.0009204999987559859,0.0009618999993108446,0.18923960000029183,0.15011239999876125,0.12081439999928989,0.1557969999994384
128,0.0011200999997527106,0.0010880000008910429,0.0008459000000584638,0.0009070999985851813,0.18012050000106683,0.15824199999951816,0.13594080000075337,0.14349899999979243
256,0.0013335000003280584,0.0010849999998754356,0.0009589000001142267,0.0011895000006916234,0.1947663000009925,0.1609723000001395,0.1450457999999344,0.18612390000089363
512,0.0014984999997977866,0.0014121999993221834,0.0010146000004169764,0.0012588999998115469,0.22450429999844346,0.17797459999928833,0.1401851999999053,0.1805634000011196
1024,0.0013146999990567565,0.0011993999996775528,0.0010192000008828472,0.0013175999993109144,0.23849169999994047,0.20809800000097312,0.17677309999999125,0.22339470000042638
2048,0.005367699999624165,0.005271199999697274,0.005186999998841202,0.00684710000132327,0.945469399999638,0.8462490000001708,0.8061132000002544,1.1400295000003098
4096,0.027100000001155422,0.02698440000131086,0.02683420000175829,0.03150859999914246,4.05101150000155,3.800108600000385,3.5491444999988744,4.879922300000544
