N,classic,optimisee,efficiente,super
128,0.0005303999641910195,0.0003135999431833625,8.309993427246809e-05,0.0014472000766545534
256,0.00263440003618598,0.0010140999220311642,0.00030179996974766254,0.00268480007071048
512,0.0067835000809282064,0.0034784000599756837,0.0006129000103101134,0.004829399986192584
1024,0.020166899892501533,0.008802499971352518,0.000799700035713613,0.00940970005467534
2048,0.08092720003332943,0.040857600048184395,0.0021300000371411443,0.01714779995381832
